carriage,nst07,unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
HIRE,GT01,MIO_TKM,AT	1975 	1903 	1954 	1764 	2065 	2118 	1782 	1795 	1913 
HIRE,GT01,MIO_TKM,BE	2147 	2686 	2163 	2210 	2198 	1878 	2017 	2152 	1966 
HIRE,GT01,MIO_TKM,BG	2812 	2830 	2657 	3016 	2925 	1500 	1699 	1552 	711 
HIRE,GT01,MIO_TKM,CH	1101 	1070 	790 	1118 	782 	746 	1021 	792 	1031 
HIRE,GT01,MIO_TKM,CY	29 	31 	27 	33 	41 	42 	47 	54 	33 
HIRE,GT01,MIO_TKM,CZ	3967 	4550 	4312 	4105 	4617 	4170 	4068 	3869 	3306 
HIRE,GT01,MIO_TKM,DE	15036 	15942 	15501 	14342 	14453 	15239 	15902 	14996 	15478 
HIRE,GT01,MIO_TKM,DK	1997 	2011 	1740 	1858 	2014 	2271 	1850 	1697 	2106 
HIRE,GT01,MIO_TKM,EE	476 	435 	514 	510 	533 	478 	514 	503 	658 
HIRE,GT01,MIO_TKM,EL	2786 	2758 	2773 	2549 	2576 	2117 	2350 	1526 	1694 
HIRE,GT01,MIO_TKM,ES	37713 	38083 	35092 	34145 	33872 	32395 	29720 	32680 	36163 
HIRE,GT01,MIO_TKM,EU15	122172 	121823 	119400 	116973 	115232 	119250 	118055 	: 	: 
HIRE,GT01,MIO_TKM,EU25	160130 	158799 	152328 	149549 	146243 	147005 	145679 	: 	: 
HIRE,GT01,MIO_TKM,EU27	165040 	163093 	156192 	153685 	150219 	149459 	147996 	: 	: 
HIRE,GT01,MIO_TKM,EU28	165937 	163826 	156818 	154266 	150790 	149984 	148534 	: 	: 
HIRE,GT01,MIO_TKM,FI	6114 	4808 	4968 	4696 	5473 	4572 	5541 	4435 	4735 
HIRE,GT01,MIO_TKM,FR	18459 	18411 	19030 	18412 	19457 	21934 	22753 	19957 	20964 
HIRE,GT01,MIO_TKM,HR	897 	734 	626 	581 	571 	525 	538 	613 	462 
HIRE,GT01,MIO_TKM,HU	3448 	3181 	3080 	3074 	2921 	2955 	3144 	2846 	2858 
HIRE,GT01,MIO_TKM,IE	869 	817 	775 	756 	835 	868 	753 	685 	662 
HIRE,GT01,MIO_TKM,IT	9627 	9104 	8300 	10577 	8146 	11865 	11349 	11544 	10272 
HIRE,GT01,MIO_TKM,LT	3030 	3907 	3506 	3544 	2656 	2243 	1869 	2205 	1913 
HIRE,GT01,MIO_TKM,LU	196 	177 	149 	320 	205 	375 	296 	180 	189 
HIRE,GT01,MIO_TKM,LV	2168 	2602 	1886 	1963 	1532 	1580 	1745 	1023 	1415 
HIRE,GT01,MIO_TKM,NL	7261 	7339 	7840 	8223 	7773 	8035 	8066 	8291 	7476 
HIRE,GT01,MIO_TKM,NO	3078 	2570 	2450 	2654 	2124 	1727 	2441 	2670 	2089 
HIRE,GT01,MIO_TKM,PL	20235 	17715 	15242 	15384 	13892 	11535 	12161 	11572 	8371 
HIRE,GT01,MIO_TKM,PT	2435 	2326 	3546 	4472 	2237 	3216 	3223 	2546 	2789 
HIRE,GT01,MIO_TKM,RO	2099 	1464 	1207 	1120 	1051 	955 	618 	750 	1469 
HIRE,GT01,MIO_TKM,SE	5403 	5108 	5014 	3915 	4101 	4185 	5183 	5299 	5348 
HIRE,GT01,MIO_TKM,SI	1708 	1926 	1805 	1824 	1789 	1821 	1613 	1378 	1398 
HIRE,GT01,MIO_TKM,SK	2897 	2628 	2556 	2139 	3030 	2931 	2463 	2081 	2145 
HIRE,GT01,MIO_TKM,UK	9778 	10350 	10552 	8734 	9829 	8183 	7269 	7736 	9035 
HIRE,GT01,THS_T,AT	13879 	13109 	12704 	12072 	12663 	12100 	11878 	11835 	11370 
HIRE,GT01,THS_T,BE	11677 	17539 	13979 	12067 	14564 	11137 	11855 	12057 	11522 
HIRE,GT01,THS_T,BG	8298 	10766 	10311 	12038 	8428 	6722 	4697 	4568 	3272 
HIRE,GT01,THS_T,CH	16047 	14841 	10478 	14041 	10741 	10243 	12523 	11599 	12883 
HIRE,GT01,THS_T,CY	550 	781 	439 	447 	655 	764 	1032 	1087 	714 
HIRE,GT01,THS_T,CZ	27829 	28150 	30274 	25420 	25816 	21610 	18455 	18069 	17293 
HIRE,GT01,THS_T,DE	123937 	126856 	129660 	112998 	116482 	114804 	110187 	93188 	95123 
HIRE,GT01,THS_T,DK	19241 	21501 	17893 	18215 	21254 	22908 	18367 	15939 	20318 
HIRE,GT01,THS_T,EE	3185 	3174 	3697 	3629 	3609 	3355 	3201 	2947 	2853 
HIRE,GT01,THS_T,EL	9438 	7661 	11150 	8861 	8594 	7490 	9622 	6917 	5885 
HIRE,GT01,THS_T,ES	120265 	125427 	114136 	112312 	104365 	101573 	90695 	99645 	101718 
HIRE,GT01,THS_T,EU15	729041 	742930 	745220 	707213 	709025 	726512 	716331 	: 	: 
HIRE,GT01,THS_T,EU25	882472 	886071 	882946 	831075 	832128 	841494 	830070 	: 	: 
HIRE,GT01,THS_T,EU27	897177 	902244 	897418 	847470 	842923 	851655 	837826 	: 	: 
HIRE,GT01,THS_T,EU28	900365 	905102 	900714 	850089 	845180 	854130 	840773 	: 	: 
HIRE,GT01,THS_T,FI	55954 	45448 	45995 	40533 	48277 	40620 	51991 	43407 	44249 
HIRE,GT01,THS_T,FR	135087 	144878 	159708 	154969 	152006 	172885 	170616 	154166 	142507 
HIRE,GT01,THS_T,HR	3188 	2858 	3296 	2619 	2257 	2475 	2947 	2950 	2767 
HIRE,GT01,THS_T,HU	19120 	19578 	17713 	17005 	16842 	17678 	17937 	16521 	17283 
HIRE,GT01,THS_T,IE	10819 	9469 	8221 	8149 	9229 	8935 	7658 	5461 	4611 
HIRE,GT01,THS_T,IT	43805 	47964 	39098 	57633 	52696 	67826 	60104 	56602 	42404 
HIRE,GT01,THS_T,LT	5555 	6430 	5342 	4631 	4281 	3923 	4043 	4006 	3625 
HIRE,GT01,THS_T,LU	658 	630 	600 	1314 	880 	1462 	1320 	689 	809 
HIRE,GT01,THS_T,LV	10197 	8491 	8315 	7896 	6559 	7354 	8302 	5772 	4854 
HIRE,GT01,THS_T,NL	46531 	42446 	45851 	43956 	45444 	45028 	45845 	46033 	38912 
HIRE,GT01,THS_T,NO	21765 	18379 	16176 	14338 	11964 	14970 	11723 	12829 	15980 
HIRE,GT01,THS_T,PL	67253 	58455 	53997 	49593 	46881 	42352 	43643 	53773 	29973 
HIRE,GT01,THS_T,PT	9032 	8418 	8329 	11038 	7441 	9979 	11096 	9972 	11227 
HIRE,GT01,THS_T,RO	6407 	5407 	4161 	4358 	2366 	3439 	3059 	3711 	3568 
HIRE,GT01,THS_T,SE	54826 	57195 	53886 	42904 	42769 	45578 	51168 	55353 	59074 
HIRE,GT01,THS_T,SI	6999 	6374 	6633 	6096 	5237 	5514 	4649 	4404 	4412 
HIRE,GT01,THS_T,SK	12743 	11707 	11317 	9144 	13224 	12432 	12477 	9755 	10358 
HIRE,GT01,THS_T,UK	73826 	74391 	84008 	70192 	72360 	64188 	63929 	63937 	65784 
HIRE,GT02,MIO_TKM,AT	77 	35 	52 	74 	40 	44 	52 	29 	35 
HIRE,GT02,MIO_TKM,BE	34 	31 	72 	93 	78 	59 	87 	84 	98 
HIRE,GT02,MIO_TKM,BG	192 	47 	73 	80 	15 	71 	17 	: c	51 
HIRE,GT02,MIO_TKM,CH	16 	13 	: c	3 	36 	6 	2 	7 	: c
HIRE,GT02,MIO_TKM,CZ	225 	262 	229 	270 	349 	539 	437 	280 	351 
HIRE,GT02,MIO_TKM,DE	798 	963 	831 	730 	659 	538 	457 	1085 	1011 
HIRE,GT02,MIO_TKM,DK	10 	20 	7 	24 	27 	29 	62 	26 	34 
HIRE,GT02,MIO_TKM,EE	: c	: c	: c	: c	43 	11 	10 	66 	9 
HIRE,GT02,MIO_TKM,EL	: c	109 	213 	222 	189 	145 	: c	: c	187 
HIRE,GT02,MIO_TKM,ES	753 	1024 	1054 	781 	1104 	1210 	905 	1267 	1461 
HIRE,GT02,MIO_TKM,EU15	4525 	4887 	5890 	5776 	5678 	5568 	6180 	: 	: 
HIRE,GT02,MIO_TKM,EU25	7629 	7464 	8297 	8859 	8389 	8396 	8988 	: 	: 
HIRE,GT02,MIO_TKM,EU27	7865 	7536 	8379 	8961 	8438 	8599 	9094 	: 	: 
HIRE,GT02,MIO_TKM,EU28	7903 	7585 	8418 	8989 	8467 	8636 	9107 	: 	: 
HIRE,GT02,MIO_TKM,FI	: c	140 	: c	: c	: c	: c	: c	: c	: c
HIRE,GT02,MIO_TKM,FR	744 	655 	904 	897 	1042 	865 	904 	919 	429 
HIRE,GT02,MIO_TKM,HR	38 	49 	39 	28 	30 	36 	14 	50 	65 
HIRE,GT02,MIO_TKM,HU	169 	374 	101 	102 	181 	162 	95 	65 	131 
HIRE,GT02,MIO_TKM,IE	49 	45 	39 	49 	37 	74 	46 	90 	178 
HIRE,GT02,MIO_TKM,IT	1281 	977 	1599 	1483 	1345 	1530 	1706 	1584 	2117 
